DriverNumber,BroadcastName,TeamName,Round_Number,Country,Location,Year,Event_Type,Sprint_Qual_Position,Sprint_Race_Position,Qual_Q3_Time,Qual_Position,Sector1Time,Sector2Time,Sector3Time,SpeedST,Stint,Standardized_Time,Race_Position
63,G RUSSELL,Mercedes,10,Canada,Montréal,2025,Race,,,-1.0,1.0,,,,,,,
1,M VERSTAPPEN,Red Bull Racing,10,Canada,Montréal,2025,Race,,,-1.0,2.0,,,,,,,
81,O PIASTRI,McLaren,10,Canada,Montréal,2025,Race,,,-1.0,3.0,,,,,,,
12,K ANTONELLI,Mercedes,10,Canada,Montréal,2025,Race,,,-1.0,4.0,,,,,,,
44,L HAMILTON,Ferrari,10,Canada,Montréal,2025,Race,,,-1.0,5.0,,,,,,,
14,F ALONSO,Aston Martin,10,Canada,Montréal,2025,Race,,,-1.0,6.0,,,,,,,
4,L NORRIS,McLaren,10,Canada,Montréal,2025,Race,,,-1.0,7.0,,,,,,,
16,C LECLERC,Ferrari,10,Canada,Montréal,2025,Race,,,-1.0,8.0,,,,,,,
6,I HADJAR,Racing Bulls,10,Canada,Montréal,2025,Race,,,-1.0,12.0,,,,,,,
23,A ALBON,Williams,10,Canada,Montréal,2025,Race,,,-1.0,9.0,,,,,,,
22,Y TSUNODA,Red Bull Racing,10,Canada,Montréal,2025,Race,,,-1.0,20.0,,,,,,,
43,F COLAPINTO,Alpine,10,Canada,Montréal,2025,Race,,,-1.0,10.0,,,,,,,
27,N HULKENBERG,Kick Sauber,10,Canada,Montréal,2025,Race,,,-1.0,11.0,,,,,,,
87,O BEARMAN,Haas F1 Team,10,Canada,Montréal,2025,Race,,,-1.0,13.0,,,,,,,
31,E OCON,Haas F1 Team,10,Canada,Montréal,2025,Race,,,-1.0,14.0,,,,,,,
5,G BORTOLETO,Kick Sauber,10,Canada,Montréal,2025,Race,,,-1.0,15.0,,,,,,,
55,C SAINZ,Williams,10,Canada,Montréal,2025,Race,,,-1.0,16.0,,,,,,,
18,L STROLL,Aston Martin,10,Canada,Montréal,2025,Race,,,-1.0,17.0,,,,,,,
30,L LAWSON,Racing Bulls,10,Canada,Montréal,2025,Race,,,-1.0,18.0,,,,,,,
10,P GASLY,Alpine,10,Canada,Montréal,2025,Race,,,-1.0,19.0,,,,,,,
