,DriverNumber,BroadcastName,TeamName,Round_Number,Country,Location,Year,Event_Type,Sprint_Qual_Position,Sprint_Race_Position,Qual_Position,Sector1Time,Sector2Time,Sector3Time,SpeedST,Stint,Race_Position
0,1,M VERSTAPPEN,Red Bull Racing,1,Bahrain,Sakhir,2023,Race,,,1.0,32.05853571428572,42.66322807017544,24.155982456140354,288.16,3.0,1.0
1,10,P GASLY,Alpine,1,Bahrain,Sakhir,2023,Race,,,20.0,32.59210714285714,42.989315789473686,24.51238596491228,297.98,4.0,9.0
2,11,S PEREZ,Red Bull Racing,1,Bahrain,Sakhir,2023,Race,,,2.0,31.969839285714283,42.895947368421055,24.202894736842108,292.27450980392155,3.0,2.0
3,14,F ALONSO,Aston Martin,1,Bahrain,Sakhir,2023,Race,,,5.0,32.23941071428571,43.03378947368421,24.243456140350876,301.15909090909093,3.0,3.0
4,16,C LECLERC,Ferrari,1,Bahrain,Sakhir,2023,Race,,,3.0,32.46157894736842,42.94751282051282,24.206820512820514,297.42424242424244,3.0,19.0
5,18,L STROLL,Aston Martin,1,Bahrain,Sakhir,2023,Race,,,8.0,32.26476785714286,43.22289473684211,24.294526315789472,296.94,3.0,6.0
6,2,L SARGEANT,Williams,1,Bahrain,Sakhir,2023,Race,,,16.0,32.624818181818185,43.379000000000005,24.597571428571428,302.85714285714283,4.0,12.0
7,20,K MAGNUSSEN,Haas F1 Team,1,Bahrain,Sakhir,2023,Race,,,17.0,32.77049090909091,43.43380357142858,24.66775,294.3125,4.0,13.0
8,21,N DE VRIES,AlphaTauri,1,Bahrain,Sakhir,2023,Race,,,19.0,32.60330909090909,43.734160714285714,24.625339285714286,293.4,3.0,14.0
9,22,Y TSUNODA,AlphaTauri,1,Bahrain,Sakhir,2023,Race,,,14.0,32.59673214285714,43.09529824561403,24.715350877192986,304.54,4.0,11.0
10,23,A ALBON,Williams,1,Bahrain,Sakhir,2023,Race,,,15.0,32.573589285714284,43.32152631578948,24.506,304.531914893617,4.0,10.0
11,24,G ZHOU,Alfa Romeo,1,Bahrain,Sakhir,2023,Race,,,13.0,33.04245454545455,43.58205357142857,24.655285714285714,296.37254901960785,4.0,16.0
12,27,N HULKENBERG,Haas F1 Team,1,Bahrain,Sakhir,2023,Race,,,10.0,32.94641818181818,43.342642857142856,24.72735714285714,296.55555555555554,4.0,15.0
13,31,E OCON,Alpine,1,Bahrain,Sakhir,2023,Race,,,9.0,34.319125,43.672536585365854,24.882219512195125,288.75,4.0,18.0
14,4,L NORRIS,McLaren,1,Bahrain,Sakhir,2023,Race,,,11.0,34.87611111111111,43.11307272727273,24.59689090909091,287.1372549019608,7.0,17.0
15,44,L HAMILTON,Mercedes,1,Bahrain,Sakhir,2023,Race,,,7.0,32.114089285714286,43.33836842105263,24.290894736842105,306.1489361702128,3.0,5.0
16,55,C SAINZ,Ferrari,1,Bahrain,Sakhir,2023,Race,,,4.0,32.21760714285714,43.22131578947368,24.261877192982453,297.45238095238096,3.0,4.0
17,63,G RUSSELL,Mercedes,1,Bahrain,Sakhir,2023,Race,,,6.0,32.28130357142857,43.320035087719305,24.21924561403509,302.0,3.0,7.0
18,77,V BOTTAS,Alfa Romeo,1,Bahrain,Sakhir,2023,Race,,,12.0,32.41560714285715,43.13661403508772,24.552596491228073,287.9056603773585,3.0,8.0
19,81,O PIASTRI,McLaren,1,Bahrain,Sakhir,2023,Race,,,18.0,32.117916666666666,45.14338461538462,25.602076923076922,306.53846153846155,1.0,20.0
0,1,M VERSTAPPEN,Red Bull Racing,2,Saudi Arabia,Jeddah,2023,Race,,,15.0,35.950061224489794,30.551840000000002,30.96884,305.84,2.0,2.0
1,10,P GASLY,Alpine,2,Saudi Arabia,Jeddah,2023,Race,,,10.0,36.383326530612244,30.831460000000003,31.28038,291.68,2.0,9.0
2,11,S PEREZ,Red Bull Racing,2,Saudi Arabia,Jeddah,2023,Race,,,1.0,35.805020408163266,30.837519999999998,30.83024,304.72,2.0,1.0
3,14,F ALONSO,Aston Martin,2,Saudi Arabia,Jeddah,2023,Race,,,3.0,36.003,30.77732,31.12774,294.18,2.0,3.0
4,16,C LECLERC,Ferrari,2,Saudi Arabia,Jeddah,2023,Race,,,2.0,36.172877551020406,30.84516,31.239079999999998,301.82,2.0,7.0
5,18,L STROLL,Aston Martin,2,Saudi Arabia,Jeddah,2023,Race,,,6.0,36.7408,30.105125,30.358375,303.5625,2.0,20.0
6,2,L SARGEANT,Williams,2,Saudi Arabia,Jeddah,2023,Race,,,20.0,36.85524489795918,30.80236,31.41732,304.02,2.0,16.0
7,20,K MAGNUSSEN,Haas F1 Team,2,Saudi Arabia,Jeddah,2023,Race,,,13.0,36.46583673469388,30.77368,31.4432,301.82,2.0,10.0
8,21,N DE VRIES,AlphaTauri,2,Saudi Arabia,Jeddah,2023,Race,,,18.0,36.592897959183674,30.89888,31.407719999999998,300.56,2.0,14.0
9,22,Y TSUNODA,AlphaTauri,2,Saudi Arabia,Jeddah,2023,Race,,,16.0,36.30614285714286,31.063000000000002,31.3437,299.3,2.0,11.0
10,23,A ALBON,Williams,2,Saudi Arabia,Jeddah,2023,Race,,,17.0,38.60223076923077,32.257703703703704,33.635777777777776,298.9259259259259,2.0,19.0
11,24,G ZHOU,Alfa Romeo,2,Saudi Arabia,Jeddah,2023,Race,,,12.0,36.91530612244898,30.7612,31.25148,303.16,3.0,13.0
12,27,N HULKENBERG,Haas F1 Team,2,Saudi Arabia,Jeddah,2023,Race,,,11.0,36.61151020408163,30.73702,31.4586,302.44,2.0,12.0
13,31,E OCON,Alpine,2,Saudi Arabia,Jeddah,2023,Race,,,7.0,36.144938775510205,30.93052,31.418940000000003,291.68,2.0,8.0
14,4,L NORRIS,McLaren,2,Saudi Arabia,Jeddah,2023,Race,,,19.0,36.846265306122454,31.0174,31.226799999999997,303.8,3.0,17.0
15,44,L HAMILTON,Mercedes,2,Saudi Arabia,Jeddah,2023,Race,,,8.0,36.27683673469388,30.6781,31.09528,297.74,2.0,5.0
16,55,C SAINZ,Ferrari,2,Saudi Arabia,Jeddah,2023,Race,,,5.0,36.07616326530612,30.84518,31.2445,299.2,2.0,6.0
17,63,G RUSSELL,Mercedes,2,Saudi Arabia,Jeddah,2023,Race,,,4.0,35.94389795918367,30.873260000000002,31.155140000000003,295.48,2.0,4.0
18,77,V BOTTAS,Alfa Romeo,2,Saudi Arabia,Jeddah,2023,Race,,,14.0,37.200854166666666,31.338897959183672,31.44569387755102,295.3061224489796,4.0,18.0
19,81,O PIASTRI,McLaren,2,Saudi Arabia,Jeddah,2023,Race,,,9.0,36.86942857142857,30.78462,31.45956,295.84,2.0,15.0
0,1,M VERSTAPPEN,Red Bull Racing,3,Australia,Melbourne,2023,Race,,,1.0,31.402290909090908,21.803086206896552,39.35767857142857,267.37254901960785,4.0,1.0
1,10,P GASLY,Alpine,3,Australia,Melbourne,2023,Race,,,9.0,31.06749090909091,20.70180357142857,37.28996153846154,283.23809523809524,3.0,13.0
2,11,S PEREZ,Red Bull Racing,3,Australia,Melbourne,2023,Race,,,20.0,31.691964912280703,21.168327586206896,39.01518518518519,278.08,6.0,5.0
3,14,F ALONSO,Aston Martin,3,Australia,Melbourne,2023,Race,,,4.0,32.09949122807018,21.64446551724138,37.32930188679245,271.05555555555554,4.0,3.0
4,16,C LECLERC,Ferrari,3,Australia,Melbourne,2023,Race,,,7.0,,,,,1.0,20.0
5,18,L STROLL,Aston Martin,3,Australia,Melbourne,2023,Race,,,6.0,32.07931578947368,21.48148275862069,37.523622641509434,281.92452830188677,4.0,4.0
6,2,L SARGEANT,Williams,3,Australia,Melbourne,2023,Race,,,18.0,31.260981481481483,20.52648214285714,40.6482641509434,285.5192307692308,7.0,16.0
7,20,K MAGNUSSEN,Haas F1 Team,3,Australia,Melbourne,2023,Race,,,14.0,30.560823529411767,19.930038461538462,38.742411764705885,284.2826086956522,3.0,17.0
8,21,N DE VRIES,AlphaTauri,3,Australia,Melbourne,2023,Race,,,15.0,31.573185185185185,20.897714285714283,40.32067924528302,274.45283018867923,5.0,15.0
9,22,Y TSUNODA,AlphaTauri,3,Australia,Melbourne,2023,Race,,,12.0,32.158368421052636,21.564,39.32844444444444,280.05357142857144,5.0,10.0
10,23,A ALBON,Williams,3,Australia,Melbourne,2023,Race,,,8.0,36.6616,22.237333333333336,43.93566666666667,233.83333333333334,1.0,19.0
11,24,G ZHOU,Alfa Romeo,3,Australia,Melbourne,2023,Race,,,17.0,32.22245614035088,21.285120689655173,39.400277777777774,277.01851851851853,6.0,9.0
12,27,N HULKENBERG,Haas F1 Team,3,Australia,Melbourne,2023,Race,,,10.0,31.571684210526318,21.594827586206897,37.75211320754717,277.24074074074076,4.0,7.0
13,31,E OCON,Alpine,3,Australia,Melbourne,2023,Race,,,11.0,31.163345454545453,20.678571428571427,38.47290566037736,278.5121951219512,4.0,14.0
14,4,L NORRIS,McLaren,3,Australia,Melbourne,2023,Race,,,13.0,31.539473684210527,21.75,37.62758490566038,278.8363636363636,4.0,6.0
15,44,L HAMILTON,Mercedes,3,Australia,Melbourne,2023,Race,,,3.0,31.075685185185186,21.636724137931036,40.12936842105264,268.8867924528302,4.0,2.0
16,55,C SAINZ,Ferrari,3,Australia,Melbourne,2023,Race,,,5.0,31.721596491228073,21.407241379310342,38.81440740740741,279.531914893617,5.0,12.0
17,63,G RUSSELL,Mercedes,3,Australia,Melbourne,2023,Race,,,2.0,33.5085,23.645647058823528,41.275999999999996,259.94117647058823,3.0,18.0
18,77,V BOTTAS,Alfa Romeo,3,Australia,Melbourne,2023,Race,,,19.0,31.939267857142855,21.356379310344828,40.56722222222223,271.22,7.0,11.0
19,81,O PIASTRI,McLaren,3,Australia,Melbourne,2023,Race,,,16.0,31.94201754385965,21.712706896551722,39.02733333333334,279.52830188679246,5.0,8.0
0,1,M VERSTAPPEN,Red Bull Racing,4,Azerbaijan,Baku,2023,Sprint,3.0,3.0,2.0,38.82642,43.88698039215686,26.341627450980393,314.7450980392157,2.0,2.0
1,10,P GASLY,Alpine,4,Azerbaijan,Baku,2023,Sprint,17.0,13.0,19.0,39.81918,44.64843137254902,26.216823529411766,314.54901960784315,3.0,14.0
2,11,S PEREZ,Red Bull Racing,4,Azerbaijan,Baku,2023,Sprint,2.0,1.0,3.0,38.696439999999996,43.936313725490194,26.359529411764708,311.5882352941176,2.0,1.0
3,14,F ALONSO,Aston Martin,4,Azerbaijan,Baku,2023,Sprint,8.0,6.0,6.0,38.94474,44.26356862745098,26.184901960784316,315.5686274509804,2.0,4.0
4,16,C LECLERC,Ferrari,4,Azerbaijan,Baku,2023,Sprint,1.0,2.0,1.0,38.88982,44.192627450980396,26.362960784313724,311.29411764705884,2.0,3.0
5,18,L STROLL,Aston Martin,4,Azerbaijan,Baku,2023,Sprint,9.0,8.0,9.0,39.12796,44.62794117647059,26.210764705882355,316.1372549019608,2.0,7.0
6,2,L SARGEANT,Williams,4,Azerbaijan,Baku,2023,Sprint,,,15.0,39.6373,45.01660784313726,26.22229411764706,317.03921568627453,2.0,16.0
7,20,K MAGNUSSEN,Haas F1 Team,4,Azerbaijan,Baku,2023,Sprint,13.0,11.0,18.0,39.89096,44.872098039215686,25.905333333333335,318.84313725490193,2.0,13.0
8,21,N DE VRIES,AlphaTauri,4,Azerbaijan,Baku,2023,Sprint,18.0,14.0,20.0,38.957875,44.98911111111111,25.51033333333333,322.22222222222223,1.0,20.0
9,22,Y TSUNODA,AlphaTauri,4,Azerbaijan,Baku,2023,Sprint,16.0,19.0,8.0,39.4589,44.81505882352942,26.302411764705884,314.27450980392155,2.0,10.0
10,23,A ALBON,Williams,4,Azerbaijan,Baku,2023,Sprint,7.0,9.0,13.0,39.680119999999995,44.8093137254902,26.166156862745098,315.4901960784314,2.0,12.0
11,24,G ZHOU,Alfa Romeo,4,Azerbaijan,Baku,2023,Sprint,14.0,12.0,16.0,40.56031428571429,45.44202777777778,26.60686111111111,311.1111111111111,2.0,19.0
12,27,N HULKENBERG,Haas F1 Team,4,Azerbaijan,Baku,2023,Sprint,12.0,15.0,17.0,39.890959183673466,45.121520000000004,26.21518,317.78,2.0,17.0
13,31,E OCON,Alpine,4,Azerbaijan,Baku,2023,Sprint,0.0,18.0,12.0,39.560120000000005,44.8336862745098,26.379745098039216,313.19607843137254,2.0,15.0
14,4,L NORRIS,McLaren,4,Azerbaijan,Baku,2023,Sprint,10.0,17.0,7.0,39.43526,44.76939215686274,26.321411764705882,314.9019607843137,2.0,9.0
15,44,L HAMILTON,Mercedes,4,Azerbaijan,Baku,2023,Sprint,6.0,7.0,5.0,39.2108,44.46682352941176,26.205392156862743,315.1764705882353,2.0,6.0
16,55,C SAINZ,Ferrari,4,Azerbaijan,Baku,2023,Sprint,5.0,5.0,4.0,39.08806,44.45817647058824,26.332392156862745,312.84313725490193,2.0,5.0
17,63,G RUSSELL,Mercedes,4,Azerbaijan,Baku,2023,Sprint,4.0,4.0,11.0,39.56748,44.53580392156863,26.29878431372549,313.8627450980392,3.0,8.0
