,DriverNumber,BroadcastName,TeamName,Round_Number,Country,Location,Year,Event_Type,Sprint_Qual_Position,Sprint_Race_Position,Qual_Position,Sector1Time,Sector2Time,Sector3Time,SpeedST,Stint,Race_Position
0,1,M VERSTAPPEN,Red Bull Racing,1,Bahrain,Sakhir,2024,Race,,,1.0,31.408017857142855,41.41484210526316,23.734122807017545,289.95652173913044,3.0,1.0
1,10,P GASLY,Alpine,1,Bahrain,Sakhir,2024,Race,,,20.0,32.36654545454546,42.15969642857143,24.230589285714284,292.921568627451,4.0,18.0
2,11,S PEREZ,Red Bull Racing,1,Bahrain,Sakhir,2024,Race,,,5.0,31.452642857142855,41.66915789473684,23.809157894736842,297.3636363636364,3.0,2.0
3,14,F ALONSO,Aston Martin,1,Bahrain,Sakhir,2024,Race,,,6.0,31.71014285714286,42.10484210526316,24.028701754385963,296.25,3.0,9.0
4,16,C LECLERC,Ferrari,1,Bahrain,Sakhir,2024,Race,,,2.0,31.594267857142857,41.8139298245614,23.835982456140353,299.32,3.0,4.0
5,18,L STROLL,Aston Martin,1,Bahrain,Sakhir,2024,Race,,,12.0,31.698803571428574,42.345649122807025,23.99378947368421,298.1219512195122,3.0,10.0
6,2,L SARGEANT,Williams,1,Bahrain,Sakhir,2024,Race,,,18.0,33.56296296296296,42.49005454545455,24.320054545454546,288.98039215686276,4.0,20.0
7,20,K MAGNUSSEN,Haas F1 Team,1,Bahrain,Sakhir,2024,Race,,,15.0,31.760127272727274,42.384875,24.230999999999998,302.7755102040816,3.0,12.0
8,22,Y TSUNODA,RB,1,Bahrain,Sakhir,2024,Race,,,11.0,31.841236363636366,42.404125,24.16119642857143,302.11538461538464,3.0,14.0
9,23,A ALBON,Williams,1,Bahrain,Sakhir,2024,Race,,,13.0,31.880363636363636,42.43683928571429,24.129321428571426,298.75,3.0,15.0
10,24,G ZHOU,Kick Sauber,1,Bahrain,Sakhir,2024,Race,,,17.0,31.858054545454547,42.35673214285714,24.114285714285717,300.1111111111111,3.0,11.0
11,27,N HULKENBERG,Haas F1 Team,1,Bahrain,Sakhir,2024,Race,,,10.0,32.16743636363636,42.20866071428571,24.093500000000002,295.20512820512823,4.0,16.0
12,3,D RICCIARDO,RB,1,Bahrain,Sakhir,2024,Race,,,14.0,31.694072727272726,42.39876785714286,24.252446428571428,300.66,3.0,13.0
13,31,E OCON,Alpine,1,Bahrain,Sakhir,2024,Race,,,19.0,32.08150909090909,42.42891071428571,24.22925,290.3333333333333,3.0,17.0
14,4,L NORRIS,McLaren,1,Bahrain,Sakhir,2024,Race,,,7.0,31.555,41.861333333333334,23.954543859649124,296.3255813953488,3.0,6.0
15,44,L HAMILTON,Mercedes,1,Bahrain,Sakhir,2024,Race,,,9.0,31.525642857142856,42.031789473684206,23.83680701754386,294.53061224489795,3.0,7.0
16,55,C SAINZ,Ferrari,1,Bahrain,Sakhir,2024,Race,,,4.0,31.451392857142856,41.80921052631579,23.70973684210526,301.2448979591837,3.0,3.0
17,63,G RUSSELL,Mercedes,1,Bahrain,Sakhir,2024,Race,,,3.0,31.616321428571432,41.99159649122807,23.755438596491228,293.37254901960785,3.0,5.0
18,77,V BOTTAS,Kick Sauber,1,Bahrain,Sakhir,2024,Race,,,16.0,31.55937037037037,42.52233928571429,24.24991071428571,296.53846153846155,3.0,19.0
19,81,O PIASTRI,McLaren,1,Bahrain,Sakhir,2024,Race,,,8.0,31.668839285714284,41.8651403508772,23.96922807017544,298.6326530612245,3.0,8.0
0,1,M VERSTAPPEN,Red Bull Racing,2,Saudi Arabia,Jeddah,2024,Race,,,1.0,35.444326530612244,30.45056,30.9601,297.42,2.0,1.0
1,10,P GASLY,Alpine,2,Saudi Arabia,Jeddah,2024,Race,,,18.0,,36.134,40.034,224.0,1.0,20.0
2,11,S PEREZ,Red Bull Racing,2,Saudi Arabia,Jeddah,2024,Race,,,3.0,35.559448979591835,30.5852,30.85306,303.38,2.0,2.0
3,14,F ALONSO,Aston Martin,2,Saudi Arabia,Jeddah,2024,Race,,,4.0,35.77628571428571,30.72454,31.031639999999996,300.24,2.0,5.0
4,16,C LECLERC,Ferrari,2,Saudi Arabia,Jeddah,2024,Race,,,2.0,35.636204081632656,30.66418,30.906999999999996,302.8,2.0,3.0
5,18,L STROLL,Aston Martin,2,Saudi Arabia,Jeddah,2024,Race,,,10.0,35.4545,30.3216,30.3014,304.6,1.0,19.0
6,2,L SARGEANT,Williams,2,Saudi Arabia,Jeddah,2024,Race,,,19.0,36.747791666666664,31.037918367346936,31.05673469387755,315.6938775510204,2.0,14.0
7,20,K MAGNUSSEN,Haas F1 Team,2,Saudi Arabia,Jeddah,2024,Race,,,13.0,36.576632653061225,30.915039999999998,30.98554,303.36,2.0,12.0
8,22,Y TSUNODA,RB,2,Saudi Arabia,Jeddah,2024,Race,,,9.0,36.856520833333335,30.99730612244898,31.0125306122449,321.0204081632653,2.0,15.0
9,23,A ALBON,Williams,2,Saudi Arabia,Jeddah,2024,Race,,,12.0,36.66787755102041,30.87632,30.982,314.92,2.0,11.0
10,24,G ZHOU,Kick Sauber,2,Saudi Arabia,Jeddah,2024,Race,,,20.0,37.08583333333333,31.002469387755102,31.213489795918367,299.46938775510205,2.0,18.0
11,27,N HULKENBERG,Haas F1 Team,2,Saudi Arabia,Jeddah,2024,Race,,,15.0,36.264714285714284,30.91904,31.10112,302.92,2.0,10.0
12,3,D RICCIARDO,RB,2,Saudi Arabia,Jeddah,2024,Race,,,14.0,36.1061914893617,30.92383673469388,30.65312244897959,312.7142857142857,2.0,16.0
13,31,E OCON,Alpine,2,Saudi Arabia,Jeddah,2024,Race,,,17.0,36.7568125,30.98034693877551,31.064102040816326,313.0,2.0,13.0
14,38,O BEARMAN,Ferrari,2,Saudi Arabia,Jeddah,2024,Race,,,11.0,35.92681632653061,30.79538,30.88512,304.12,2.0,7.0
15,4,L NORRIS,McLaren,2,Saudi Arabia,Jeddah,2024,Race,,,6.0,35.67591836734694,30.80334,31.22104,293.66,2.0,8.0
16,44,L HAMILTON,Mercedes,2,Saudi Arabia,Jeddah,2024,Race,,,8.0,36.19218367346939,30.54428,30.98966,309.88,2.0,9.0
17,63,G RUSSELL,Mercedes,2,Saudi Arabia,Jeddah,2024,Race,,,7.0,36.02730612244898,30.65352,30.90326,310.96,2.0,6.0
18,77,V BOTTAS,Kick Sauber,2,Saudi Arabia,Jeddah,2024,Race,,,16.0,36.910645833333334,31.07616326530612,31.201918367346938,303.734693877551,3.0,17.0
19,81,O PIASTRI,McLaren,2,Saudi Arabia,Jeddah,2024,Race,,,5.0,35.80277551020408,30.671680000000002,30.976439999999997,307.52,2.0,4.0
0,1,M VERSTAPPEN,Red Bull Racing,3,Australia,Melbourne,2024,Race,,,1.0,29.057333333333332,18.44075,35.78933333333333,281.5,1.0,19.0
1,10,P GASLY,Alpine,3,Australia,Melbourne,2024,Race,,,17.0,29.606285714285715,18.63315789473684,36.892421052631576,291.8333333333333,3.0,13.0
2,11,S PEREZ,Red Bull Racing,3,Australia,Melbourne,2024,Race,,,3.0,29.184842105263158,18.487189655172415,36.38713793103449,292.92452830188677,3.0,5.0
3,14,F ALONSO,Aston Martin,3,Australia,Melbourne,2024,Race,,,10.0,29.153140350877194,18.559741379310342,36.74351724137931,290.17543859649123,3.0,8.0
4,16,C LECLERC,Ferrari,3,Australia,Melbourne,2024,Race,,,5.0,28.882859649122803,18.227741379310345,36.033534482758625,289.5098039215686,3.0,2.0
5,18,L STROLL,Aston Martin,3,Australia,Melbourne,2024,Race,,,9.0,29.152,18.73956896551724,36.79894827586207,289.8909090909091,3.0,6.0
